Date,^FTSE,LLOY.L,BARC.L,AV.L,PSN.L,LAND.L
2023-06-06,7628.10009765625,45.11992645263672,158.0728302001953,407.10455322265625,1249.38720703125,630.2651977539062
2023-06-07,7624.2998046875,45.45451736450195,158.11280822753906,406.00616455078125,1226.4075927734375,624.274169921875
2023-06-08,7599.7001953125,45.274742126464844,157.4733123779297,402.9106750488281,1218.4146728515625,620.080322265625
2023-06-09,7562.39990234375,45.20981979370117,156.2143096923828,400.3144836425781,1211.9205322265625,612.6912841796875
2023-06-12,7570.7001953125,44.920169830322266,155.11521911621094,397.61846923828125,1219.413818359375,607.4990234375
2023-06-13,7594.7998046875,45.239776611328125,156.63400268554688,399.5156555175781,1165.96142578125,596.515380859375
2023-06-14,7602.7001953125,45.22979736328125,157.31346130371094,400.214599609375,1167.4599609375,592.9205932617188
2023-06-15,7628.2998046875,44.90019607543945,153.67636108398438,397.2190246582031,1180.947998046875,583.0531616210938
2023-06-16,7642.7001953125,44.99008560180664,153.81626892089844,395.421630859375,1184.9444580078125,589.6448974609375
2023-06-19,7588.5,44.9850959777832,153.33663940429688,394.3232421875,1176.95166015625,577.46044921875
2023-06-20,7569.2998046875,44.76036834716797,154.19595336914062,393.32470703125,1181.9471435546875,579.4578247070312
2023-06-21,7559.2001953125,43.69166946411133,151.3382568359375,391.32763671875,1132.9908447265625,571.0685424804688
2023-06-22,7502.0,42.857688903808594,146.84188842773438,385.2365417480469,1102.5179443359375,564.2772216796875
2023-06-23,7461.89990234375,42.268409729003906,145.103271484375,385.6360168457031,1058.0574951171875,558.8842163085938
2023-06-26,7453.60009765625,41.908851623535156,144.8035125732422,387.9326171875,1061.054931640625,562.6793212890625
2023-06-27,7461.5,42.44818878173828,146.20237731933594,389.031005859375,1044.0699462890625,565.076171875
2023-06-28,7500.5,42.59800720214844,148.22076416015625,391.627197265625,1040.073486328125,575.4629516601562
2023-06-29,7471.7001953125,42.71786117553711,151.1983642578125,387.73284912109375,1017.093994140625,569.2708129882812
2023-06-30,7531.5,43.536861419677734,153.2567138671875,394.6228332519531,1024.5872802734375,573.465576171875
2023-07-03,7527.2998046875,44.171085357666016,155.49490356445312,396.8196105957031,1028.084228515625,587.2478637695312
2023-07-04,7519.7001953125,43.82651138305664,152.43736267089844,396.9194641113281,1030.0823974609375,596.236328125
2023-07-05,7442.10009765625,43.77656936645508,149.9193878173828,389.3305358886719,1014.59619140625,596.8355712890625
2023-07-06,7280.5,43.24721145629883,146.5820770263672,381.0426940917969,967.7379760742188,571.8675537109375
2023-07-07,7256.89990234375,43.0424690246582,148.60044860839844,381.24237060546875,973.7326049804688,571.4680786132812
2023-07-10,7273.7998046875,42.99252700805664,148.60044860839844,381.6418151855469,992.3161010742188,565.8751220703125
2023-07-11,7282.5,43.31713104248047,149.73953247070312,385.7358093261719,1007.6024780273438,581.2555541992188
2023-07-12,7416.10009765625,44.47071838378906,154.67556762695312,389.5302429199219,1050.0645751953125,603.4271240234375
2023-07-13,7440.2001953125,44.670475006103516,155.57484436035156,390.628662109375,1048.5660400390625,609.0199584960938
2023-07-14,7434.60009765625,44.3059196472168,154.975341796875,385.4362487792969,1059.55615234375,608.8201904296875
2023-07-17,7406.39990234375,44.78533935546875,155.9345703125,386.53466796875,1046.068359375,606.2235717773438
2023-07-18,7453.7001953125,45.63429641723633,159.25189208984375,389.031005859375,1091.0281982421875,613.6140747070312
2023-07-19,7588.2001953125,46.6380729675293,164.14794921875,396.0207824707031,1181.44775390625,660.5540161132812
2023-07-20,7646.10009765625,46.27851486206055,164.22787475585938,402.2117004394531,1180.4483642578125,660.9534912109375
2023-07-21,7663.7001953125,45.79909896850586,163.12876892089844,399.81524658203125,1167.9595947265625,657.9573364257812
2023-07-24,7678.60009765625,45.988868713378906,164.22787475585938,403.60968017578125,1185.943603515625,650.9662475585938
